"TimeUS","Name","Value","Default","ap_time_s"
"3059985","TECS_LAND_PMAX","10","10","3.059985"
"3059985","TECS_APPR_SMAX","0","0","3.059985"
"3059985","TECS_LAND_SRC","0","0","3.059985"
"3059985","TECS_LAND_TDAMP","0","0","3.059985"
"3059985","TECS_LAND_IGAIN","0","0","3.059985"
"3059985","TECS_TKOFF_IGAIN","0","0","3.059985"
"3059985","TECS_LAND_PDAMP","0","0","3.059985"
"3059985","TECS_SYNAIRSPEED","0","0","3.059985"
"3059985","TECS_OPTIONS","0","0","3.059985"
"3059985","TECS_PTCH_FF_V0","12","12","3.059985"
"3059985","TECS_PTCH_FF_K","0","0","3.059985"
"3059985","TECS_THR_ERATE","20","20","3.059985"
"3059985","TECS_FLARE_HGT","1","1","3.059985"
"3059985","TECS_HDEM_TCONST","3","3","3.059985"
"3059985","MNT1_TYPE","0","0","3.059985"
"3059985","MNT2_TYPE","0","0","3.059985"
"3059985","BATT_MONITOR","0","0","3.059985"
"3059985","BATT2_MONITOR","0","0","3.059985"
"3059985","BATT3_MONITOR","0","0","3.059985"
"3059985","BATT4_MONITOR","0","0","3.059985"
"3059985","BATT5_MONITOR","0","0","3.059985"
"3059985","BATT6_MONITOR","0","0","3.059985"
"3059985","BATT7_MONITOR","0","0","3.059985"
"3059985","BATT8_MONITOR","0","0","3.059985"
"3059985","BATT9_MONITOR","0","0","3.059985"
"3059985","BRD_SAFETY_DEFLT","0","0","3.059985"
"3059985","BRD_SERIAL_NUM","0","0","3.059985"
"3059985","BRD_SAFETY_MASK","0","0","3.059985"
"3059985","BRD_SAFETYOPTION","3","3","3.059985"
"3059985","BRD_RTC_TYPES","1","1","3.059985"
"3059985","BRD_RTC_TZ_MIN","0","0","3.059985"
"3059985","BRD_VBUS_MIN","4.3","4.3","3.059985"
"3059985","BRD_VSERVO_MIN","0","0","3.059985"
"3059985","BRD_OPTIONS","0","0","3.059985"
"3059985","BRD_BOOT_DELAY","0","0","3.059985"
"3059985","BRD_SD_MISSION","0","0","3.059985"
"3059985","BRD_SD_FENCE","0","0","3.059985"
"3059985","CAN_P1_DRIVER","0","0","3.059985"
"3059985","CAN_P2_DRIVER","0","0","3.059985"
"3059985","CAN_D1_PROTOCOL","1","1","3.059985"
"3059985","CAN_D1_PROTOCOL2","0","0","3.059985"
"3059985","CAN_D2_PROTOCOL","1","1","3.059985"
"3059985","CAN_D2_PROTOCOL2","0","0","3.059985"
"3059985","CAN_LOGLEVEL","0","0","3.059985"
"3059985","SIM_DRIFT_SPEED","0.05","0.05","3.059985"
"3059985","SIM_DRIFT_TIME","5","5","3.059985"
"3059985","SIM_ENGINE_MUL","0","0","3.059985"
"3059985","SIM_WIND_SPD","0","0","3.059985"
"3059985","SIM_WIND_DIR","180","180","3.059985"
"3059985","SIM_WIND_TURB","0","0","3.059985"
"3059985","SIM_WIND_TC","5","5","3.059985"
"3059985","SIM_SERVO_SPEED","0.14","0.14","3.059985"
"3059985","SIM_SERVO_DELAY","0","0","3.059985"
"3059985","SIM_SERVO_FILTER","0","0","3.059985"
"3059985","SIM_SONAR_ROT","25","25","3.059985"
"3059985","SIM_BATT_VOLTAGE","12.6","12.6","3.059985"
"3059985","SIM_BATT_CAP_AH","0","0","3.059985"
